# function: x**3-5x+3
# x, analytic_deriv(x), fw_diff(x), central_diff(x)
-5.00000,70.00000,69.85010,70.00010
-4.99000,69.70030,69.55070,69.70040
-4.98000,69.40120,69.25190,69.40130
-4.97000,69.10270,68.95370,69.10280
-4.96000,68.80480,68.65610,68.80490
-4.95000,68.50750,68.35910,68.50760
-4.94000,68.21080,68.06270,68.21090
-4.93000,67.91470,67.76690,67.91480
-4.92000,67.61920,67.47170,67.61930
-4.91000,67.32430,67.17710,67.32440
-4.90000,67.03000,66.88310,67.03010
-4.89000,66.73630,66.58970,66.73640
-4.88000,66.44320,66.29690,66.44330
-4.87000,66.15070,66.00470,66.15080
-4.86000,65.85880,65.71310,65.85890
-4.85000,65.56750,65.42210,65.56760
-4.84000,65.27680,65.13170,65.27690
-4.83000,64.98670,64.84190,64.98680
-4.82000,64.69720,64.55270,64.69730
-4.81000,64.40830,64.26410,64.40840
-4.80000,64.12000,63.97610,64.12010
-4.79000,63.83230,63.68870,63.83240
-4.78000,63.54520,63.40190,63.54530
-4.77000,63.25870,63.11570,63.25880
-4.76000,62.97280,62.83010,62.97290
-4.75000,62.68750,62.54510,62.68760
-4.74000,62.40280,62.26070,62.40290
-4.73000,62.11870,61.97690,62.11880
-4.72000,61.83520,61.69370,61.83530
-4.71000,61.55230,61.41110,61.55240
-4.70000,61.27000,61.12910,61.27010
-4.69000,60.98830,60.84770,60.98840
-4.68000,60.70720,60.56690,60.70730
-4.67000,60.42670,60.28670,60.42680
-4.66000,60.14680,60.00710,60.14690
-4.65000,59.86750,59.72810,59.86760
-4.64000,59.58880,59.44970,59.58890
-4.63000,59.31070,59.17190,59.31080
-4.62000,59.03320,58.89470,59.03330
-4.61000,58.75630,58.61810,58.75640
-4.60000,58.48000,58.34210,58.48010
-4.59000,58.20430,58.06670,58.20440
-4.58000,57.92920,57.79190,57.92930
-4.57000,57.65470,57.51770,57.65480
-4.56000,57.38080,57.24410,57.38090
-4.55000,57.10750,56.97110,57.10760
-4.54000,56.83480,56.69870,56.83490
-4.53000,56.56270,56.42690,56.56280
-4.52000,56.29120,56.15570,56.29130
-4.51000,56.02030,55.88510,56.02040
-4.50000,55.75000,55.61510,55.75010
-4.49000,55.48030,55.34570,55.48040
-4.48000,55.21120,55.07690,55.21130
-4.47000,54.94270,54.80870,54.94280
-4.46000,54.67480,54.54110,54.67490
-4.45000,54.40750,54.27410,54.40760
-4.44000,54.14080,54.00770,54.14090
-4.43000,53.87470,53.74190,53.87480
-4.42000,53.60920,53.47670,53.60930
-4.41000,53.34430,53.21210,53.34440
-4.40000,53.08000,52.94810,53.08010
-4.39000,52.81630,52.68470,52.81640
-4.38000,52.55320,52.42190,52.55330
-4.37000,52.29070,52.15970,52.29080
-4.36000,52.02880,51.89810,52.02890
-4.35000,51.76750,51.63710,51.76760
-4.34000,51.50680,51.37670,51.50690
-4.33000,51.24670,51.11690,51.24680
-4.32000,50.98720,50.85770,50.98730
-4.31000,50.72830,50.59910,50.72840
-4.30000,50.47000,50.34110,50.47010
-4.29000,50.21230,50.08370,50.21240
-4.28000,49.95520,49.82690,49.95530
-4.27000,49.69870,49.57070,49.69880
-4.26000,49.44280,49.31510,49.44290
-4.25000,49.18750,49.06010,49.18760
-4.24000,48.93280,48.80570,48.93290
